Date,Open,High,Low,Close,Volume,Daily Return (%),Trading Range,Log Return,Volume × Price
2019-01-27 00:00:00+00:00,1.013715982,1.019325972,1.011610031,1.013942003,17334193,14%,0.007715941,0.001446924,17575866.37
2019-01-28 00:00:00+00:00,1.014655948,1.019119978,1.010957003,1.011801958,34421448,-21%,0.008162975,-0.002112849,34827688.48
2019-01-29 00:00:00+00:00,1.011793971,1.017393947,1.010076046,1.014050007,26620698,22%,0.007317901,0.002219362,26994718.99
2019-01-30 00:00:00+00:00,1.01384306,1.016512036,1.009879947,1.013232946,28233801,-8%,0.006632089,-0.000806065,28607417.36
2019-01-31 00:00:00+00:00,1.013162017,1.015769005,1.000758052,1.012485027,30016994,-7%,0.015010953,-0.000738424,30391756.98
2019-02-01 00:00:00+00:00,1.011765003,1.031891942,1.00782001,1.015843987,26896947,33%,0.024071932,0.00331205,27323101.88
2019-02-02 00:00:00+00:00,1.014754057,1.018363953,1.011024952,1.018337965,23207115,25%,0.007339001,0.002452071,23632686.26
2019-02-03 00:00:00+00:00,1.015589952,1.016899943,1.00664103,1.01424396,26365349,-40%,0.010258913,-0.004028384,26740895.98
2019-02-04 00:00:00+00:00,1.013759971,1.016734958,1.009284973,1.011425018,24242526,-28%,0.007449985,-0.002783223,24519497.3
2019-02-05 00:00:00+00:00,1.01156795,1.014165998,1.005800009,1.008728981,19011789,-27%,0.008365989,-0.002669142,19177742.54
2019-02-06 00:00:00+00:00,1.008877039,1.017233968,1.007526994,1.013051033,27032564,43%,0.009706974,0.004275498,27385366.88
2019-02-07 00:00:00+00:00,1.013648987,1.024724007,1.008752942,1.011047959,15429983,-20%,0.015971065,-0.001979226,15600452.82
2019-02-08 00:00:00+00:00,1.011391997,1.024335027,1.008219004,1.01731205,31291520,62%,0.016116023,0.006176528,31833240.36
2019-02-09 00:00:00+00:00,1.017205,1.018622994,1.008242011,1.011700988,21523062,-55%,0.010380983,-0.005530843,21774903.09
2019-02-10 00:00:00+00:00,1.011948943,1.020550013,1.010241032,1.014389038,19451268,27%,0.010308981,0.002653437,19731153.03
2019-02-11 00:00:00+00:00,1.015701056,1.019636035,1.011723042,1.013288975,19063318,-11%,0.007912993,-0.001085047,19316649.96
2019-02-12 00:00:00+00:00,1.012431026,1.019593,1.011379004,1.017773986,28682063,44%,0.008213996,0.004416425,29191857.59
2019-02-13 00:00:00+00:00,1.018411994,1.019184947,1.008823991,1.011628032,27483515,-60%,0.010360956,-0.00605693,27803094.19
2019-02-14 00:00:00+00:00,1.010975957,1.015570045,1.009053946,1.011428952,27582140,-2%,0.006516099,-0.000196811,27897374.95
2019-02-15 00:00:00+00:00,1.011973977,1.016546011,1.003473997,1.011823058,35775279,4%,0.013072014,0.000389577,36198252.2
2019-02-16 00:00:00+00:00,1.011505961,1.015648961,1.006994009,1.013239026,44255529,14%,0.008654952,0.001398444,44841429.1
2019-02-17 00:00:00+00:00,1.014425039,1.026548028,1.008301973,1.023789048,45168007,104%,0.018246055,0.010358342,46242510.89
2019-02-18 00:00:00+00:00,1.023102045,1.03094101,1.001528978,1.012897015,51464756,-106%,0.029412032,-0.010695941,52128497.73
2019-02-19 00:00:00+00:00,1.013003945,1.019669056,1.003322959,1.004068971,49393554,-87%,0.016346097,-0.008753842,49594534.94
2019-02-20 00:00:00+00:00,1.004050016,1.02046299,0.998658001,1.015740991,41527390,116%,0.021804989,0.011557671,42181072.27
2019-02-21 00:00:00+00:00,1.015285969,1.016394019,1.005130053,1.012017012,35317064,-37%,0.011263966,-0.003673006,35741469.58
2019-02-22 00:00:00+00:00,1.009835958,1.019425035,1.005460978,1.01573801,32159403,37%,0.013964057,0.003670071,32665528.01
2019-02-23 00:00:00+00:00,1.014065981,1.037757993,1.007200956,1.012145042,36243964,-35%,0.030557037,-0.003543569,36684148.47
2019-02-24 00:00:00+00:00,1.013239026,1.028911948,0.998950005,1.007181048,51756152,-49%,0.029961943,-0.004916496,52127815.41
2019-02-25 00:00:00+00:00,1.004343033,1.022758961,1.004343033,1.017585993,52796841,103%,0.018415928,0.010277762,53725325.88
2019-02-26 00:00:00+00:00,1.016229987,1.021518946,1.011172056,1.011172056,42569527,-63%,0.01034689,-0.006323039,43045116.14
2019-02-27 00:00:00+00:00,1.012675047,1.021757007,1.008285046,1.015962005,38328217,47%,0.013471961,0.004725842,38940012.19
2019-02-28 00:00:00+00:00,1.015192032,1.019919038,1.010602951,1.013672948,31630079,-23%,0.009316087,-0.002255635,32062555.43
2019-03-01 00:00:00+00:00,1.013116956,1.02372396,1.010856032,1.010856032,21097111,-28%,0.012867928,-0.002782788,21326141.91
2019-03-02 00:00:00+00:00,1.01009202,1.020117044,1.008077979,1.00998497,18482080,-9%,0.012039065,-0.000862079,18666623.01
2019-03-03 00:00:00+00:00,1.008705974,1.014853954,1.006930947,1.01197505,17429846,20%,0.007923007,0.001968467,17638569.28
2019-03-04 00:00:00+00:00,1.010313988,1.017490983,1.010313988,1.015483022,23960578,35%,0.007176995,0.003460467,24331560.16
2019-03-05 00:00:00+00:00,1.015727043,1.016844988,1.010612011,1.016844988,32016571,13%,0.006232977,0.001340302,32555889.75
2019-03-06 00:00:00+00:00,1.017554045,1.02075398,1.011850953,1.013903022,24347412,-29%,0.008903027,-0.002897423,24685914.6
2019-03-07 00:00:00+00:00,1.013458014,1.017763972,1.011247993,1.013484955,24225454,-4%,0.006515979,-0.000412419,24552133.16
2019-03-08 00:00:00+00:00,1.014444947,1.021450996,1.01058197,1.014518976,27535813,10%,0.010869026,0.001019743,27935604.81
2019-03-09 00:00:00+00:00,1.014161944,1.020488977,1.011230946,1.01235795,24550954,-21%,0.009258031,-0.002132371,24854353.46
2019-03-10 00:00:00+00:00,1.014304996,1.022843003,1.010445952,1.019503951,21622742,71%,0.012397051,0.007033973,22044470.9
2019-03-11 00:00:00+00:00,1.020557046,1.021482944,1.010478973,1.013620019,25473881,-58%,0.011003971,-0.005788086,25820835.74
2019-03-12 00:00:00+00:00,1.013249993,1.01652801,1.007853985,1.012156963,25249458,-14%,0.008674025,-0.00144444,25556414.73
2019-03-13 00:00:00+00:00,1.012820959,1.019184947,1.010846972,1.013291955,32955078,11%,0.008337975,0.001120731,33393115.41
2019-03-14 00:00:00+00:00,1.013373971,1.020238996,1.012436032,1.017089963,30654411,37%,0.007802964,0.00374118,31178293.75
2019-03-15 00:00:00+00:00,1.016306043,1.019619942,1.014160037,1.015259981,30356979,-18%,0.005459905,-0.001800854,30820225.92
2019-03-16 00:00:00+00:00,1.016044021,1.018656969,1.011297941,1.015427947,35637112,2%,0.007359028,0.000165428,36186919.48
2019-03-17 00:00:00+00:00,1.015051961,1.023566961,1.014361024,1.019448996,38655614,40%,0.009205937,0.003952135,39407426.88
2019-03-18 00:00:00+00:00,1.020424962,1.022032022,1.010794044,1.015398026,41889761,-40%,0.011237978,-0.003981602,42534780.63
2019-03-19 00:00:00+00:00,1.015599966,1.021018982,1.014353991,1.016152024,34394867,7%,0.006664991,0.000742288,34950413.72
2019-03-20 00:00:00+00:00,1.016868949,1.017714977,1.009989977,1.01415801,43164011,-20%,0.007725,-0.001964246,43775127.5
2019-03-21 00:00:00+00:00,1.01364398,1.016827941,1.010555983,1.01404798,43135935,-1%,0.006271958,-0.0001085,43741907.75
2019-03-22 00:00:00+00:00,1.013599992,1.017714977,1.008659959,1.009016037,33465329,-50%,0.009055018,-0.004974586,33767053.64
2019-03-23 00:00:00+00:00,1.009156942,1.015117049,1.007462025,1.012213945,23348602,32%,0.007655024,0.003164321,23633780.54
2019-03-24 00:00:00+00:00,1.011324048,1.012771964,1.003365993,1.008054018,17336324,-41%,0.009405971,-0.004118199,17475951.07
2019-03-25 00:00:00+00:00,1.008746028,1.024253964,1.006247997,1.012812972,34431703,47%,0.018005967,0.004709823,34872875.45
2019-03-26 00:00:00+00:00,1.013404965,1.015081048,1.009070039,1.012508035,33876854,-3%,0.006011009,-0.000301125,34300586.88
